from_State,from_Division,from_Latitude,from_Longitude,to_State,to_Division,to_Latitude,to_Longitude,distance_metres,time_minutes
NSW,Barton,-33.956,151.129,NSW,Bradfield,-33.732,151.146,40055,2790
NSW,Barton,-33.956,151.129,NSW,Calare,-33.306,148.922,279445,13507
NSW,Barton,-33.956,151.129,NSW,Chifley,-33.735,150.838,53891,2548
NSW,Barton,-33.956,151.129,NSW,Cook,-34.031,151.100,11277,1113
NSW,Barton,-33.956,151.129,NSW,Cowper,-30.384,152.870,547976,21736
NSW,Barton,-33.956,151.129,NSW,Cunningham,-34.259,150.916,47055,3248
NSW,Barton,-33.956,151.129,NSW,Dobell,-33.248,151.366,122429,6163
NSW,Barton,-33.956,151.129,NSW,Eden-Monaro,-36.292,149.344,413835,17072
NSW,Barton,-33.956,151.129,NSW,Farrer,-32.501,143.311,965202,40833
NSW,Barton,-33.956,151.129,NSW,Fowler,-33.900,150.877,28834,1939
NSW,Barton,-33.956,151.129,NSW,Gilmore,-35.067,150.398,174780,8520
NSW,Barton,-33.956,151.129,NSW,Grayndler,-33.897,151.148,9202,1195
NSW,Barton,-33.956,151.129,NSW,Greenway,-33.733,150.913,60281,2760
NSW,Barton,-33.956,151.129,NSW,Hughes,-33.992,150.975,26896,1930
NSW,Barton,-33.956,151.129,NSW,Hume,-34.409,149.045,267962,10599
NSW,Barton,-33.956,151.129,NSW,Hunter,-32.375,150.778,275325,12064
NSW,Barton,-33.956,151.129,NSW,Kingsford Smith,-33.949,151.231,12470,1285
NSW,Barton,-33.956,151.129,NSW,Lindsay,-33.751,150.711,61103,3038
NSW,Barton,-33.956,151.129,NSW,Lyne,-31.602,152.277,386292,17315
NSW,Barton,-33.956,151.129,NSW,Macarthur,-34.065,150.764,45535,2216
NSW,Barton,-33.956,151.129,NSW,Mackellar,-33.669,151.253,46552,3505
NSW,Barton,-33.956,151.129,NSW,Macquarie,-33.475,150.642,96611,6008
NSW,Barton,-33.956,151.129,NSW,McMahon,-33.837,150.859,40876,2006
NSW,Barton,-33.956,151.129,NSW,Mitchell,-33.710,150.960,65069,3223
NSW,Barton,-33.956,151.129,NSW,New England,-30.319,151.315,519340,23328
NSW,Barton,-33.956,151.129,NSW,Newcastle,-32.841,151.753,196248,9212
NSW,Barton,-33.956,151.129,NSW,North Sydney,-33.816,151.184,25852,1750
NSW,Barton,-33.956,151.129,NSW,Page,-29.275,152.804,704513,28887
NSW,Barton,-33.956,151.129,NSW,Parkes,-30.887,147.373,620191,26743
NSW,Barton,-33.956,151.129,NSW,Parramatta,-33.809,151.011,25302,2274
NSW,Barton,-33.956,151.129,NSW,Paterson,-32.40694,151.91806,242472,11228
NSW,Barton,-33.956,151.129,NSW,Reid,-33.853,151.084,18815,1915
NSW,Barton,-33.956,151.129,NSW,Richmond,-28.511,153.363,809049,33614
NSW,Barton,-33.956,151.129,NSW,Riverina,-34.427,146.700,500652,18832
NSW,Barton,-33.956,151.129,NSW,Robertson,-33.382,151.213,91741,4780
NSW,Barton,-33.956,151.129,NSW,Shortland,-33.112,151.617,151630,7475
NSW,Barton,-33.956,151.129,NSW,Sydney,-33.895,151.200,10897,1439
NSW,Barton,-33.956,151.129,NSW,Warringah,-39.076120,125.816959,NONE,NONE
NSW,Barton,-33.956,151.129,NSW,Watson,-33.908,151.077,9147,1156
NSW,Barton,-33.956,151.129,NSW,Wentworth,-33.883,151.253,20287,1752
NSW,Barton,-33.956,151.129,NSW,Werriwa,-33.981,150.843,30714,1874
NSW,Barton,-33.956,151.129,NSW,Whitlam,-34.534,150.552,117375,5274
NSW,Barton,-33.956,151.129,NSW,Sydney Airport,-33.940248,151.175186,7723,940
NSW,Bennelong,-33.793,151.099,NSW,Berowra,-33.568,151.047,33790,2980
NSW,Bennelong,-33.793,151.099,NSW,Blaxland,-33.888,151.000,18815,1715
NSW,Bennelong,-33.793,151.099,NSW,Bradfield,-33.732,151.146,11635,1025
NSW,Bennelong,-33.793,151.099,NSW,Calare,-33.306,148.922,265754,13089
NSW,Bennelong,-33.793,151.099,NSW,Chifley,-33.735,150.838,32750,1815
NSW,Bennelong,-33.793,151.099,NSW,Cook,-34.031,151.100,30897,2812
NSW,Bennelong,-33.793,151.099,NSW,Cowper,-30.384,152.870,514631,19983
NSW,Bennelong,-33.793,151.099,NSW,Cunningham,-34.259,150.916,66028,4436
NSW,Bennelong,-33.793,151.099,NSW,Dobell,-33.248,151.366,89084,4410
NSW,Bennelong,-33.793,151.099,NSW,Eden-Monaro,-36.292,149.344,423386,18044
NSW,Bennelong,-33.793,151.099,NSW,Farrer,-32.501,143.311,974753,41805
NSW,Bennelong,-33.793,151.099,NSW,Fowler,-33.900,150.877,44629,2479
NSW,Bennelong,-33.793,151.099,NSW,Gilmore,-35.067,150.398,193753,9708
NSW,Bennelong,-33.793,151.099,NSW,Grayndler,-33.897,151.148,18357,1779
NSW,Bennelong,-33.793,151.099,NSW,Greenway,-33.733,150.913,25755,1496
NSW,Bennelong,-33.793,151.099,NSW,Hughes,-33.992,150.975,36447,2901
NSW,Bennelong,-33.793,151.099,NSW,Hume,-34.409,149.045,277514,11570
NSW,Bennelong,-33.793,151.099,NSW,Hunter,-32.375,150.778,241980,10310
NSW,Bennelong,-33.793,151.099,NSW,Kingsford Smith,-33.949,151.231,28616,1818
NSW,Bennelong,-33.793,151.099,NSW,Lindsay,-33.751,150.711,47413,2619
NSW,Bennelong,-33.793,151.099,NSW,Lyne,-31.602,152.277,352947,15561
NSW,Bennelong,-33.793,151.099,NSW,Macarthur,-34.065,150.764,55086,3188
NSW,Bennelong,-33.793,151.099,NSW,Mackellar,-33.669,151.253,25223,1968
NSW,Bennelong,-33.793,151.099,NSW,Macquarie,-33.475,150.642,75092,5206
NSW,Bennelong,-33.793,151.099,NSW,McMahon,-33.837,150.859,35711,2002
NSW,Bennelong,-33.793,151.099,NSW,Mitchell,-33.710,150.960,24072,1778
NSW,Bennelong,-33.793,151.099,NSW,New England,-30.319,151.315,485995,21574
NSW,Bennelong,-33.793,151.099,NSW,Newcastle,-32.841,151.753,162903,7458
NSW,Bennelong,-33.793,151.099,NSW,North Sydney,-33.816,151.184,10137,826
NSW,Bennelong,-33.793,151.099,NSW,Page,-29.275,152.804,671168,27133
NSW,Bennelong,-33.793,151.099,NSW,Parkes,-30.887,147.373,606500,26324
NSW,Bennelong,-33.793,151.099,NSW,Parramatta,-33.809,151.011,10020,1003
NSW,Bennelong,-33.793,151.099,NSW,Paterson,-32.40694,151.91806,209126,9475
NSW,Bennelong,-33.793,151.099,NSW,Reid,-33.853,151.084,9104,908
NSW,Bennelong,-33.793,151.099,NSW,Richmond,-28.511,153.363,775704,31860
NSW,Bennelong,-33.793,151.099,NSW,Riverina,-34.427,146.700,510204,19803
NSW,Bennelong,-33.793,151.099,NSW,Robertson,-33.382,151.213,58395,3026
NSW,Bennelong,-33.793,151.099,NSW,Shortland,-33.112,151.617,118284,5721
NSW,Bennelong,-33.793,151.099,NSW,Sydney,-33.895,151.200,22104,1715
NSW,Bennelong,-33.793,151.099,NSW,Warringah,-39.076120,125.816959,NONE,NONE
NSW,Bennelong,-33.793,151.099,NSW,Watson,-33.908,151.077,15226,1309
NSW,Bennelong,-33.793,151.099,NSW,Wentworth,-33.883,151.253,22625,1741
NSW,Bennelong,-33.793,151.099,NSW,Werriwa,-33.981,150.843,40265,2845
NSW,Bennelong,-33.793,151.099,NSW,Whitlam,-34.534,150.552,126927,6245
NSW,Bennelong,-33.793,151.099,NSW,Sydney Airport,-33.940248,151.175186,30302,2051
NSW,Berowra,-33.568,151.047,NSW,Blaxland,-33.888,151.000,45988,4092
NSW,Berowra,-33.568,151.047,NSW,Bradfield,-33.732,151.146,31268,2949
NSW,Berowra,-33.568,151.047,NSW,Calare,-33.306,148.922,257485,13607
NSW,Berowra,-33.568,151.047,NSW,Chifley,-33.735,150.838,42445,3269
NSW,Berowra,-33.568,151.047,NSW,Cook,-34.031,151.100,76762,5030
NSW,Berowra,-33.568,151.047,NSW,Cowper,-30.384,152.870,521255,20970
NSW,Berowra,-33.568,151.047,NSW,Cunningham,-34.259,150.916,95108,7006
NSW,Berowra,-33.568,151.047,NSW,Dobell,-33.248,151.366,95708,5398
NSW,Berowra,-33.568,151.047,NSW,Eden-Monaro,-36.292,149.344,456062,19761
NSW,Berowra,-33.568,151.047,NSW,Farrer,-32.501,143.311,925569,43050
NSW,Berowra,-33.568,151.047,NSW,Fowler,-33.900,150.877,62492,4134
NSW,Berowra,-33.568,151.047,NSW,Gilmore,-35.067,150.398,249061,11769
NSW,Berowra,-33.568,151.047,NSW,Grayndler,-33.897,151.148,59639,4131
NSW,Berowra,-33.568,151.047,NSW,Greenway,-33.733,150.913,33401,2806
NSW,Berowra,-33.568,151.047,NSW,Hughes,-33.992,150.975,81879,5139
NSW,Berowra,-33.568,151.047,NSW,Hume,-34.409,149.045,310189,13292
NSW,Berowra,-33.568,151.047,NSW,Hunter,-32.375,150.778,248603,11298
NSW,Berowra,-33.568,151.047,NSW,Kingsford Smith,-33.949,151.231,61280,3927
NSW,Berowra,-33.568,151.047,NSW,Lindsay,-33.751,150.711,56255,3984
NSW,Berowra,-33.568,151.047,NSW,Lyne,-31.602,152.277,359571,16549
NSW,Berowra,-33.568,151.047,NSW,Macarthur,-34.065,150.764,87762,4910
NSW,Berowra,-33.568,151.047,NSW,Mackellar,-33.669,151.253,45140,3871
NSW,Berowra,-33.568,151.047,NSW,Macquarie,-33.475,150.642,71605,5502
NSW,Berowra,-33.568,151.047,NSW,McMahon,-33.837,150.859,54634,3627
NSW,Berowra,-33.568,151.047,NSW,Mitchell,-33.710,150.960,29020,2272
NSW,Berowra,-33.568,151.047,NSW,New England,-30.319,151.315,492618,22562
NSW,Berowra,-33.568,151.047,NSW,Newcastle,-32.841,151.753,169527,8446
NSW,Berowra,-33.568,151.047,NSW,North Sydney,-33.816,151.184,42801,2935
NSW,Berowra,-33.568,151.047,NSW,Page,-29.275,152.804,677792,28121
